cbsa_code,cbsa_title,metro_area,county_fips,county_name
19100,"Dallas-Fort Worth-Arlington, TX",1,48397,"Rockwall County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48439,"Tarrant County, Texas"
19100,"Dallas-Fort Worth-Arlington, TX",1,48497,"Wise County, Texas"
19140,"Dalton, GA",1,13213,"Murray County, Georgia"
19140,"Dalton, GA",1,13313,"Whitfield County, Georgia"
19180,"Danville, IL",1,17183,"Vermilion County, Illinois"
19220,"Danville, KY",0,21021,"Boyle County, Kentucky"
19220,"Danville, KY",0,21137,"Lincoln County, Kentucky"
19260,"Danville, VA",0,51143,"Pittsylvania County, Virginia"
19260,"Danville, VA",0,51590,"Danville city, Virginia"
19300,"Daphne-Fairhope-Foley, AL",1,01003,"Baldwin County, Alabama"
19340,"Davenport-Moline-Rock Island, IA-IL",1,17073,"Henry County, Illinois"
19340,"Davenport-Moline-Rock Island, IA-IL",1,17131,"Mercer County, Illinois"
19340,"Davenport-Moline-Rock Island, IA-IL",1,17161,"Rock Island County, Illinois"
19340,"Davenport-Moline-Rock Island, IA-IL",1,19163,"Scott County, Iowa"
19420,"Dayton, TN",0,47143,"Rhea County, Tennessee"
19430,"Dayton-Kettering, OH",1,39057,"Greene County, Ohio"
19430,"Dayton-Kettering, OH",1,39109,"Miami County, Ohio"
19430,"Dayton-Kettering, OH",1,39113,"Montgomery County, Ohio"
19460,"Decatur, AL",1,01079,"Lawrence County, Alabama"
19460,"Decatur, AL",1,01103,"Morgan County, Alabama"
19500,"Decatur, IL",1,17115,"Macon County, Illinois"
19540,"Decatur, IN",0,18001,"Adams County, Indiana"
19580,"Defiance, OH",0,39039,"Defiance County, Ohio"
19620,"Del Rio, TX",0,48465,"Val Verde County, Texas"
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1,12035,"Flagler County, Florida"
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1,12127,"Volusia County, Florida"
19700,"Deming, NM",0,35029,"Luna County, New Mexico"
19740,"Denver-Aurora-Lakewood, CO",1,08001,"Adams County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08005,"Arapahoe County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08014,"Broomfield County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08019,"Clear Creek County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08031,"Denver County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08035,"Douglas County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08039,"Elbert County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08047,"Gilpin County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08059,"Jefferson County, Colorado"
19740,"Denver-Aurora-Lakewood, CO",1,08093,"Park County, Colorado"
19760,"DeRidder, LA",0,22011,"Beauregard Parish, Louisiana"
19780,"Des Moines-West Des Moines, IA",1,19049,"Dallas County, Iowa"
19780,"Des Moines-West Des Moines, IA",1,19077,"Guthrie County, Iowa"
19780,"Des Moines-West Des Moines, IA",1,19099,"Jasper County, Iowa"
19780,"Des Moines-West Des Moines, IA",1,19121,"Madison County, Iowa"
19780,"Des Moines-West Des Moines, IA",1,19153,"Polk County, Iowa"
19780,"Des Moines-West Des Moines, IA",1,19181,"Warren County, Iowa"
19820,"Detroit-Warren-Dearborn, MI",1,26087,"Lapeer County, Michigan"
19820,"Detroit-Warren-Dearborn, MI",1,26093,"Livingston County, Michigan"
19820,"Detroit-Warren-Dearborn, MI",1,26099,"Macomb County, Michigan"
19820,"Detroit-Warren-Dearborn, MI",1,26125,"Oakland County, Michigan"
19820,"Detroit-Warren-Dearborn, MI",1,26147,"St. Clair County, Michigan"
19820,"Detroit-Warren-Dearborn, MI",1,26163,"Wayne County, Michigan"
19860,"Dickinson, ND",0,38007,"Billings County, North Dakota"
19860,"Dickinson, ND",0,38089,"Stark County, North Dakota"
19940,"Dixon, IL",0,17103,"Lee County, Illinois"
19980,"Dodge City, KS",0,20057,"Ford County, Kansas"
20020,"Dothan, AL",1,01061,"Geneva County, Alabama"
20020,"Dothan, AL",1,01067,"Henry County, Alabama"
20020,"Dothan, AL",1,01069,"Houston County, Alabama"
20060,"Douglas, GA",0,13003,"Atkinson County, Georgia"
20060,"Douglas, GA",0,13069,"Coffee County, Georgia"
20100,"Dover, DE",1,10001,"Kent County, Delaware"
20140,"Dublin, GA",0,13167,"Johnson County, Georgia"
20140,"Dublin, GA",0,13175,"Laurens County, Georgia"
20140,"Dublin, GA",0,13283,"Treutlen County, Georgia"
20180,"DuBois, PA",0,42033,"Clearfield County, Pennsylvania"
20220,"Dubuque, IA",1,19061,"Dubuque County, Iowa"
20260,"Duluth, MN-WI",1,27017,"Carlton County, Minnesota"
20260,"Duluth, MN-WI",1,27075,"Lake County, Minnesota"
20260,"Duluth, MN-WI",1,27137,"St. Louis County, Minnesota"
20260,"Duluth, MN-WI",1,55031,"Douglas County, Wisconsin"
20300,"Dumas, TX",0,48341,"Moore County, Texas"
20340,"Duncan, OK",0,40137,"Stephens County, Oklahoma"
20420,"Durango, CO",0,08067,"La Plata County, Colorado"
20460,"Durant, OK",0,40013,"Bryan County, Oklahoma"
20500,"Durham-Chapel Hill, NC",1,37037,"Chatham County, North Carolina"
20500,"Durham-Chapel Hill, NC",1,37063,"Durham County, North Carolina"
20500,"Durham-Chapel Hill, NC",1,37077,"Granville County, North Carolina"
20500,"Durham-Chapel Hill, NC",1,37135,"Orange County, North Carolina"
20500,"Durham-Chapel Hill, NC",1,37145,"Person County, North Carolina"
20540,"Dyersburg, TN",0,47045,"Dyer County, Tennessee"
20580,"Eagle Pass, TX",0,48323,"Maverick County, Texas"
20660,"Easton, MD",0,24041,"Talbot County, Maryland"
20700,"East Stroudsburg, PA",1,42089,"Monroe County, Pennsylvania"
20740,"Eau Claire, WI",1,55017,"Chippewa County, Wisconsin"
20740,"Eau Claire, WI",1,55035,"Eau Claire County, Wisconsin"
20780,"Edwards, CO",0,08037,"Eagle County, Colorado"
20820,"Effingham, IL",0,17049,"Effingham County, Illinois"
20900,"El Campo, TX",0,48481,"Wharton County, Texas"
20940,"El Centro, CA",1,06025,"Imperial County, California"
20980,"El Dorado, AR",0,05139,"Union County, Arkansas"
21020,"Elizabeth City, NC",0,37139,"Pasquotank County, North Carolina"
21020,"Elizabeth City, NC",0,37143,"Perquimans County, North Carolina"
21060,"Elizabethtown-Fort Knox, KY",1,21093,"Hardin County, Kentucky"
21060,"Elizabethtown-Fort Knox, KY",1,21123,"Larue County, Kentucky"
21060,"Elizabethtown-Fort Knox, KY",1,21163,"Meade County, Kentucky"
21120,"Elk City, OK",0,40009,"Beckham County, Oklahoma"
21140,"Elkhart-Goshen, IN",1,18039,"Elkhart County, Indiana"
21180,"Elkins, WV",0,54083,"Randolph County, West Virginia"
21220,"Elko, NV",0,32007,"Elko County, Nevada"
21220,"Elko, NV",0,32011,"Eureka County, Nevada"
21260,"Ellensburg, WA",0,53037,"Kittitas County, Washington"
21300,"Elmira, NY",1,36015,"Chemung County, New York"
21340,"El Paso, TX",1,48141,"El Paso County, Texas"
21340,"El Paso, TX",1,48229,"Hudspeth County, Texas"
21380,"Emporia, KS",0,20017,"Chase County, Kansas"
21380,"Emporia, KS",0,20111,"Lyon County, Kansas"
21420,"Enid, OK",1,40047,"Garfield County, Oklahoma"
21460,"Enterprise, AL",0,01031,"Coffee County, Alabama"
21500,"Erie, PA",1,42049,"Erie County, Pennsylvania"
21540,"Escanaba, MI",0,26041,"Delta County, Michigan"
21580,"Española, NM",0,35039,"Rio Arriba County, New Mexico"
21640,"Eufaula, AL-GA",0,01005,"Barbour County, Alabama"
21640,"Eufaula, AL-GA",0,13239,"Quitman County, Georgia"
21660,"Eugene-Springfield, OR",1,41039,"Lane County, Oregon"
21700,"Eureka-Arcata, CA",0,06023,"Humboldt County, California"
21740,"Evanston, WY",0,56041,"Uinta County, Wyoming"
21780,"Evansville, IN-KY",1,18129,"Posey County, Indiana"
21780,"Evansville, IN-KY",1,18163,"Vanderburgh County, Indiana"
21780,"Evansville, IN-KY",1,18173,"Warrick County, Indiana"
21780,"Evansville, IN-KY",1,21101,"Henderson County, Kentucky"
21820,"Fairbanks, AK",1,02090,"Fairbanks North Star Borough, Alaska"
21840,"Fairfield, IA",0,19101,"Jefferson County, Iowa"
21860,"Fairmont, MN",0,27091,"Martin County, Minnesota"
21900,"Fairmont, WV",0,54049,"Marion County, West Virginia"
21980,"Fallon, NV",0,32001,"Churchill County, Nevada"
22020,"Fargo, ND-MN",1,27027,"Clay County, Minnesota"
22020,"Fargo, ND-MN",1,38017,"Cass County, North Dakota"
22060,"Faribault-Northfield, MN",0,27131,"Rice County, Minnesota"
22100,"Farmington, MO",0,29187,"St. Francois County, Missouri"
22140,"Farmington, NM",1,35045,"San Juan County, New Mexico"
22180,"Fayetteville, NC",1,37051,"Cumberland County, North Carolina"
22180,"Fayetteville, NC",1,37085,"Harnett County, North Carolina"
22180,"Fayetteville, NC",1,37093,"Hoke County, North Carolina"
22220,"Fayetteville-Springdale-Rogers, AR",1,05007,"Benton County, Arkansas"
22220,"Fayetteville-Springdale-Rogers, AR",1,05087,"Madison County, Arkansas"
22220,"Fayetteville-Springdale-Rogers, AR",1,05143,"Washington County, Arkansas"
22260,"Fergus Falls, MN",0,27111,"Otter Tail County, Minnesota"
22280,"Fernley, NV",0,32019,"Lyon County, Nevada"
22300,"Findlay, OH",0,39063,"Hancock County, Ohio"
22340,"Fitzgerald, GA",0,13017,"Ben Hill County, Georgia"
22380,"Flagstaff, AZ",1,04005,"Coconino County, Arizona"
22420,"Flint, MI",1,26049,"Genesee County, Michigan"
22500,"Florence, SC",1,45031,"Darlington County, South Carolina"
22500,"Florence, SC",1,45041,"Florence County, South Carolina"
22520,"Florence-Muscle Shoals, AL",1,01033,"Colbert County, Alabama"
22520,"Florence-Muscle Shoals, AL",1,01077,"Lauderdale County, Alabama"
22540,"Fond du Lac, WI",1,55039,"Fond du Lac County, Wisconsin"
22580,"Forest City, NC",0,37161,"Rutherford County, North Carolina"
22620,"Forrest City, AR",0,05123,"St. Francis County, Arkansas"
22660,"Fort Collins, CO",1,08069,"Larimer County, Colorado"
22700,"Fort Dodge, IA",0,19187,"Webster County, Iowa"
22780,"Fort Leonard Wood, MO",0,29169,"Pulaski County, Missouri"
22800,"Fort Madison-Keokuk, IA-IL-MO",0,17067,"Hancock County, Illinois"
22800,"Fort Madison-Keokuk, IA-IL-MO",0,19111,"Lee County, Iowa"
22800,"Fort Madison-Keokuk, IA-IL-MO",0,29045,"Clark County, Missouri"
22820,"Fort Morgan, CO",0,08087,"Morgan County, Colorado"
22840,"Fort Payne, AL",0,01049,"DeKalb County, Alabama"
22860,"Fort Polk South, LA",0,22115,"Vernon Parish, Louisiana"
22900,"Fort Smith, AR-OK",1,05033,"Crawford County, Arkansas"
22900,"Fort Smith, AR-OK",1,05047,"Franklin County, Arkansas"
22900,"Fort Smith, AR-OK",1,05131,"Sebastian County, Arkansas"
22900,"Fort Smith, AR-OK",1,40135,"Sequoyah County, Oklahoma"
23060,"Fort Wayne, IN",1,18003,"Allen County, Indiana"
23060,"Fort Wayne, IN",1,18183,"Whitley County, Indiana"
23140,"Frankfort, IN",0,18023,"Clinton County, Indiana"
23180,"Frankfort, KY",0,21005,"Anderson County, Kentucky"
23180,"Frankfort, KY",0,21073,"Franklin County, Kentucky"
23240,"Fredericksburg, TX",0,48171,"Gillespie County, Texas"
23300,"Freeport, IL",0,17177,"Stephenson County, Illinois"
23340,"Fremont, NE",0,31053,"Dodge County, Nebraska"
23380,"Fremont, OH",0,39143,"Sandusky County, Ohio"
23420,"Fresno, CA",1,06019,"Fresno County, California"
23460,"Gadsden, AL",1,01055,"Etowah County, Alabama"
23500,"Gaffney, SC",0,45021,"Cherokee County, South Carolina"
23540,"Gainesville, FL",1,12001,"Alachua County, Florida"
23540,"Gainesville, FL",1,12041,"Gilchrist County, Florida"
23540,"Gainesville, FL",1,12075,"Levy County, Florida"
23580,"Gainesville, GA",1,13139,"Hall County, Georgia"
23620,"Gainesville, TX",0,48097,"Cooke County, Texas"
23660,"Galesburg, IL",0,17095,"Knox County, Illinois"
23700,"Gallup, NM",0,35031,"McKinley County, New Mexico"
23780,"Garden City, KS",0,20055,"Finney County, Kansas"
23780,"Garden City, KS",0,20093,"Kearny County, Kansas"
