"state","puma12","cbsa20","stab","CBSAName20","PUMA12name","pop20","afact2","afact"
"State code","PUMA (2012)","Core-based statistical area code","State abbr.","2020 CBSA name","PUMA12 name","Total population (2020 Census)","cbsa20-to-puma12 allocation factor","puma12-to-cbsa20 allocation factor"
"04","00300","43320","AZ","Show Low, AZ","Navajo & Apache Counties",106717,1,0.6178 
"04","00300","99999","AZ","[not in a CBSA]","Navajo & Apache Counties",66021,0.0037,0.3822 
"04","00400","22380","AZ","Flagstaff, AZ","Coconino County--Flagstaff City",144459,0.9956,0.9995 
"04","00400","39150","AZ","Prescott Valley-Prescott, AZ","Coconino County--Flagstaff City",65,0.0003,0.0004 
"04","00500","22380","AZ","Flagstaff, AZ","Yavapai County",642,0.0044,0.0027 
"04","00500","39150","AZ","Prescott Valley-Prescott, AZ","Yavapai County",236135,0.9997,0.9973 
"04","00600","29420","AZ","Lake Havasu City-Kingman, AZ","Mohave & La Paz Counties--Lake Havasu City",213267,1,0.928 
"04","00600","99999","AZ","[not in a CBSA]","Mohave & La Paz Counties--Lake Havasu City",16557,0.0009,0.072 
"04","00700","49740","AZ","Yuma, AZ","Yuma County--Yuma City",203881,1,1 
"04","00800","37740","AZ","Payson, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",53272,1,0.4824 
"04","00800","38060","AZ","Phoenix-Mesa-Chandler, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",9061,0.0019,0.082 
"04","00800","40940","AZ","Safford, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",38533,1,0.3489 
"04","00800","43420","AZ","Sierra Vista-Douglas, AZ","Gila, Graham, Greenlee & Pinal (East) Counties",9,0.0001,0.0001 
"04","00800","99999","AZ","[not in a CBSA]","Gila, Graham, Greenlee & Pinal (East) Counties",9563,0.0005,0.0866 
"04","00803","38060","AZ","Phoenix-Mesa-Chandler, AZ","Pinal County (North)--Apache Junction City",147564,0.0305,1 
"04","00805","38060","AZ","Phoenix-Mesa-Chandler, AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",124418,0.0257,1 
"04","00805","46060","AZ","Tucson, AZ","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",1,0,0 
