"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"310M500US21120","Elk City, OK Micro Area","128400","16079","null","null",
"310M500US21140","Elkhart-Goshen, IN Metro Area","144300","2657","null","null",
"310M500US21180","Elkins, WV Micro Area","110300","9150","null","null",
"310M500US21220","Elko, NV Micro Area","210300","6830","null","null",
"310M500US21260","Ellensburg, WA Micro Area","286900","9423","null","null",
"310M500US21300","Elmira, NY Metro Area","105800","2993","null","null",
"310M500US21340","El Paso, TX Metro Area","121300","935","null","null",
"310M500US21380","Emporia, KS Micro Area","106300","5498","null","null",
"310M500US21420","Enid, OK Metro Area","112600","5239","null","null",
"310M500US21460","Enterprise, AL Micro Area","147400","6917","null","null",
"310M500US21500","Erie, PA Metro Area","134100","2049","null","null",
"310M500US21540","Escanaba, MI Micro Area","114300","3177","null","null",
"310M500US21580","Española, NM Micro Area","167300","5446","null","null",
"310M500US21640","Eufaula, AL-GA Micro Area","87700","6537","null","null",
"310M500US21660","Eugene-Springfield, OR Metro Area","263200","2968","null","null",
"310M500US21700","Eureka-Arcata, CA Micro Area","313200","6151","null","null",
"310M500US21740","Evanston, WY Micro Area","175000","8755","null","null",
"310M500US21780","Evansville, IN-KY Metro Area","139400","1842","null","null",
"310M500US21820","Fairbanks, AK Metro Area","240000","6430","null","null",
"310M500US21840","Fairfield, IA Micro Area","118300","9536","null","null",
"310M500US21860","Fairmont, MN Micro Area","118300","5917","null","null",
"310M500US21900","Fairmont, WV Micro Area","116800","4398","null","null",
"310M500US21980","Fallon, NV Micro Area","191500","11813","null","null",
"310M500US22020","Fargo, ND-MN Metro Area","215200","3646","null","null",
"310M500US22060","Faribault-Northfield, MN Micro Area","208600","5819","null","null",
"310M500US22100","Farmington, MO Micro Area","121000","7137","null","null",
"310M500US22140","Farmington, NM Metro Area","151200","4094","null","null",
"310M500US22180","Fayetteville, NC Metro Area","141000","1919","null","null",
"310M500US22220","Fayetteville-Springdale-Rogers, AR Metro Area","176000","3067","null","null",
"310M500US22260","Fergus Falls, MN Micro Area","189100","5346","null","null",
"310M500US22280","Fernley, NV Micro Area","214900","7559","null","null",
"310M500US22300","Findlay, OH Micro Area","147600","4383","null","null",
"310M500US22340","Fitzgerald, GA Micro Area","83400","7511","null","null",
"310M500US22380","Flagstaff, AZ Metro Area","280900","7748","null","null",
"310M500US22420","Flint, MI Metro Area","111100","1545","null","null",
"310M500US22500","Florence, SC Metro Area","118600","3039","null","null",
"310M500US22520","Florence-Muscle Shoals, AL Metro Area","135300","3333","null","null",
"310M500US22540","Fond du Lac, WI Metro Area","157800","2116","null","null",
"310M500US22580","Forest City, NC Micro Area","118300","4115","null","null",
"310M500US22620","Forrest City, AR Micro Area","64600","3929","null","null",
"310M500US22660","Fort Collins, CO Metro Area","363800","3285","null","null",
"310M500US22700","Fort Dodge, IA Micro Area","99100","4065","null","null",
"310M500US22780","Fort Leonard Wood, MO Micro Area","159200","5010","null","null",
"310M500US22800","Fort Madison-Keokuk, IA-IL-MO Micro Area","91100","2403","null","null",
"310M500US22820","Fort Morgan, CO Micro Area","201200","10911","null","null",
"310M500US22840","Fort Payne, AL Micro Area","106100","4355","null","null",
"310M500US22860","Fort Polk South, LA Micro Area","119300","6969","null","null",
"310M500US22900","Fort Smith, AR-OK Metro Area","115000","2457","null","null",
"310M500US23060","Fort Wayne, IN Metro Area","130700","1492","null","null",
"310M500US23140","Frankfort, IN Micro Area","111500","5954","null","null",
"310M500US23180","Frankfort, KY Micro Area","144900","3205","null","null",
"310M500US23240","Fredericksburg, TX Micro Area","286900","14847","null","null",
"310M500US23300","Freeport, IL Micro Area","97800","3289","null","null",
"310M500US23340","Fremont, NE Micro Area","130200","4077","null","null",
"310M500US23380","Fremont, OH Micro Area","115400","2960","null","null",
"310M500US23420","Fresno, CA Metro Area","255000","2340","null","null",
"310M500US23460","Gadsden, AL Metro Area","113700","5290","null","null",
"310M500US23500","Gaffney, SC Micro Area","101500","5500","null","null",
"310M500US23540","Gainesville, FL Metro Area","167500","2970","null","null",
"310M500US23580","Gainesville, GA Metro Area","201300","5669","null","null",
"310M500US23620","Gainesville, TX Micro Area","161100","13234","null","null",
"310M500US23660","Galesburg, IL Micro Area","83000","1987","null","null",
"310M500US23700","Gallup, NM Micro Area","64800","4003","null","null",
"310M500US23780","Garden City, KS Micro Area","149600","6982","null","null",
"310M500US23820","Gardnerville Ranchos, NV Micro Area","378800","9254","null","null",
"310M500US23860","Georgetown, SC Micro Area","188800","9385","null","null",
"310M500US23900","Gettysburg, PA Metro Area","205800","3823","null","null",
"310M500US23940","Gillette, WY Micro Area","218400","5413","null","null",
"310M500US23980","Glasgow, KY Micro Area","113200","5070","null","null",
"310M500US24020","Glens Falls, NY Metro Area","172400","3128","null","null",
"310M500US24060","Glenwood Springs, CO Micro Area","385300","13792","null","null",
"310M500US24100","Gloversville, NY Micro Area","109600","5196","null","null",
"310M500US24140","Goldsboro, NC Metro Area","123500","4623","null","null",
"310M500US24180","Granbury, TX Micro Area","193500","6817","null","null",
"310M500US24220","Grand Forks, ND-MN Metro Area","192100","3709","null","null",
"310M500US24260","Grand Island, NE Metro Area","143200","3878","null","null",
"310M500US24300","Grand Junction, CO Metro Area","227000","4298","null","null",
"310M500US24330","Grand Rapids, MN Micro Area","164100","3188","null","null",
"310M500US24340","Grand Rapids-Kentwood, MI Metro Area","172900","1027","null","null",
"310M500US24380","Grants, NM Micro Area","84400","5455","null","null",
"310M500US24420","Grants Pass, OR Metro Area","265500","6670","null","null",
"310M500US24460","Great Bend, KS Micro Area","93300","3940","null","null",
"310M500US24500","Great Falls, MT Metro Area","179900","3665","null","null",
"310M500US24540","Greeley, CO Metro Area","299000","3597","null","null",
"310M500US24580","Green Bay, WI Metro Area","171200","1363","null","null",
"310M500US24620","Greeneville, TN Micro Area","122400","5353","null","null",
"310M500US24660","Greensboro-High Point, NC Metro Area","149200","1543","null","null",
"310M500US24700","Greensburg, IN Micro Area","134400","6447","null","null",
"310M500US24740","Greenville, MS Micro Area","75600","3396","null","null",
"310M500US24780","Greenville, NC Metro Area","148600","4413","null","null",
"310M500US24820","Greenville, OH Micro Area","123300","3504","null","null",
"310M500US24860","Greenville-Anderson, SC Metro Area","163400","1312","null","null",
"310M500US24900","Greenwood, MS Micro Area","86900","3882","null","null",
"310M500US24940","Greenwood, SC Micro Area","122800","5327","null","null",
"310M500US24980","Grenada, MS Micro Area","105000","15026","null","null",
"310M500US25020","Guayama, PR Metro Area","88000","1537","null","null",
"310M500US25060","Gulfport-Biloxi, MS Metro Area","142500","2437","null","null",
"310M500US25100","Guymon, OK Micro Area","115100","8702","null","null",
"310M500US25180","Hagerstown-Martinsburg, MD-WV Metro Area","195300","3216","null","null",
"310M500US25200","Hailey, ID Micro Area","413700","35552","null","null",
"310M500US25220","Hammond, LA Metro Area","162800","4513","null","null",
"310M500US25260","Hanford-Corcoran, CA Metro Area","215900","4963","null","null",
"310M500US25300","Hannibal, MO Micro Area","127800","6076","null","null",
"310M500US25420","Harrisburg-Carlisle, PA Metro Area","183400","1589","null","null",
"310M500US25460","Harrison, AR Micro Area","122300","4822","null","null",
"310M500US25500","Harrisonburg, VA Metro Area","209300","4762","null","null",
"310M500US25540","Hartford-East Hartford-Middletown, CT Metro Area","249200","1406","null","null",
"310M500US25580","Hastings, NE Micro Area","128500","8665","null","null",
"310M500US25620","Hattiesburg, MS Metro Area","137100","5735","null","null",
"310M500US25700","Hays, KS Micro Area","169100","5920","null","null",
"310M500US25720","Heber, UT Micro Area","528400","19914","null","null",
"310M500US25740","Helena, MT Micro Area","248400","4623","null","null",
"310M500US25760","Helena-West Helena, AR Micro Area","70700","6741","null","null",
"310M500US25780","Henderson, NC Micro Area","101400","6155","null","null",
"310M500US25820","Hereford, TX Micro Area","91100","4876","null","null",
"310M500US25840","Hermiston-Pendleton, OR Micro Area","165400","4717","null","null",
"310M500US25860","Hickory-Lenoir-Morganton, NC Metro Area","131600","2192","null","null",
"310M500US25880","Hillsdale, MI Micro Area","120100","3591","null","null",
"310M500US25900","Hilo, HI Micro Area","350000","7278","null","null",
"310M500US25940","Hilton Head Island-Bluffton, SC Metro Area","285400","5724","null","null",
"310M500US25980","Hinesville, GA Metro Area","124100","4177","null","null",
"310M500US26020","Hobbs, NM Micro Area","133100","5388","null","null",
"310M500US26090","Holland, MI Micro Area","165400","2751","null","null",
"310M500US26140","Homosassa Springs, FL Metro Area","131500","3996","null","null",
"310M500US26220","Hood River, OR Micro Area","373600","14739","null","null",
"310M500US26260","Hope, AR Micro Area","77100","3947","null","null",
"310M500US26300","Hot Springs, AR Metro Area","139900","6110","null","null",
"310M500US26340","Houghton, MI Micro Area","109800","5288","null","null",
"310M500US26380","Houma-Thibodaux, LA Metro Area","155100","2745","null","null",
"310M500US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","193900","821","null","null",
"310M500US26460","Hudson, NY Micro Area","233600","5032","null","null",
"310M500US26500","Huntingdon, PA Micro Area","136400","4440","null","null",
"310M500US26540","Huntington, IN Micro Area","107200","4330","null","null",
"310M500US26580","Huntington-Ashland, WV-KY-OH Metro Area","120600","2635","null","null",
"310M500US26620","Huntsville, AL Metro Area","179700","2551","null","null",
